country,year,GovExpend,Consumption,Exports,Imports,GDP
Canada,2017,0.372664520776378,1.0954749516879,0.58283065299395,0.60003133675889,1.86816447800856
Canada,2016,0.36489933360137,1.0584255616583,0.576393528906879,0.5757748560391059,1.81401551004101
Canada,2015,0.358302792302578,1.0352084569829398,0.568858949015801,0.575792585263662,1.79427007956002
Canada,2014,0.35348546616870397,1.0119875983495201,0.550323222344353,0.572343770023656,1.7822522527948002
Canada,2013,0.351541406619088,0.986399888286415,0.518040417109138,0.5586362223758851,1.73271402027185
Canada,2012,0.354341920680791,0.961226048749745,0.505969319669618,0.547756031385833,1.69342847305153
Canada,2011,0.351886751150664,0.943145255683132,0.492348764927517,0.5282267417138989,1.66423953530399
Canada,2010,0.347331886872437,0.921951518090644,0.469948563365056,0.500341353329594,1.6135428125893898
Canada,2009,0.339686419118216,0.8900778560352081,0.44069224250727,0.439795796449992,1.56529127535205
Canada,2008,0.330766399797777,0.88960204568624,0.506349807733318,0.5022813118717621,1.61286183955018
Canada,2007,0.318776958081099,0.8640115201060501,0.5304534953707281,0.498002018985195,1.5968761604708999
Canada,2006,0.311381980288986,0.827642529586192,0.524461038051049,0.470931245226403,1.5646075153363301
Canada,2005,0.30304306066721004,0.794390237453188,0.5199501919646681,0.44722157339536,1.52460847921825
Canada,2004,0.299853918947261,0.764356938530119,0.508656573700632,0.416754239259705,1.4773166216026101
Canada,2003,0.294334852629701,0.741795832637151,0.481993072549655,0.384198580199466,1.4330886780540601
Canada,2002,0.286094471348957,0.721974155647097,0.490464661534049,0.368614526190797,1.40772452332828
Canada,2001,0.2797668383847,0.694229814058001,0.48469591283589303,0.362022959396081,1.36659022253473
Canada,2000,0.27055304597548496,0.6777134704394621,0.499525777741301,0.380823481551252,1.3428054049479299
Germany,2017,0.745579065877364,2.11200896820441,1.9305627514739299,1.66634835010054,3.8838696852044903
Germany,2016,0.734014125303974,2.0756148436856203,1.8449492527946298,1.5894945020653,3.80185941570092
Germany,2015,0.706114541385845,2.03366581811234,1.80308093764771,1.5270744966393999,3.71848230042573
Germany,2014,0.685990242878908,1.99995334849988,1.7122699868304099,1.44540937214913,3.65492434950701
Germany,2013,0.675470723505832,1.97945770786389,1.6350301485316299,1.39438450283709,3.57701459082977
Germany,2012,0.666453988830554,1.96739018794208,1.60745481020889,1.3541216947488,3.55958740326256
Germany,2011,0.659528096555904,1.9413396462516002,1.56327651339081,1.3550079863506899,3.5421602289396
Germany,2010,0.6533862635593669,1.91548065607022,1.4437352334151798,1.26612594055575,3.41709456264895
Germany,2009,0.645022920445347,1.9083933826755801,1.26052522765931,1.1219141956615601,3.28314445844196
Germany,2008,0.626140057958251,1.9055201630159,1.47029995641232,1.24105665170067,3.47860226477663
Germany,2007,0.605623729812256,1.89421882264204,1.44243586706962,1.21383493470775,3.44135593934145
Germany,2006,0.5968683570591801,1.89421882264204,1.31957400334148,1.1425520529956699,3.3326923296003703
Germany,2005,0.591183887560127,1.86625280559318,1.17520047999996,1.02809425843357,3.21377743617133
